"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount"
"09/08","Turquie","Caglar Soyuncu","out","Freiburg","Germany","Leicester","England","21 M€"
"23/01","Etats-Unis","Caleb Stanko","out","Freiburg","Germany","FC Cincinnati","United States",""
"28/01","Allemagne","P.  Kammerbauer","out","Freiburg","Germany","Holstein Kiel",NA,"Loan"
"07/02","France","Yoric Ravet","out","Freiburg","Germany","Grasshops","Switzerland","Loan"
"01/07","Japon","Takuma Asano","in","Stuttgart",NA,"Hannover 96","Germany","Loan"
"01/07","Danemark","Uffe Bech","in","Greuther Fürth",NA,"Hannover 96","Germany","Return from loan"
"01/07","Sénégal","Babacar Gueye","in","Saint-Trond","Belgium","Hannover 96","Germany","Return from loan"
"01/07","Japon","Genki Haraguchi","in","Düsseldorf",NA,"Hannover 96","Germany","4.5 M€"
"01/07","Brésil","Walace","in","HSV",NA,"Hannover 96","Germany","6 M€"
"01/07","Allemagne","Leo Weinkauf","in","Bayern B",NA,"Hannover 96","Germany",""
"01/07","Autriche","Kevin Wimmer","in","Stoke City","England","Hannover 96","Germany","Loan"
"09/07","Etats-Unis","Bobby Wood","in","HSV",NA,"Hannover 96","Germany","Loan"
"31/08","Allemagne","Florent Muslija","in","Karlsruhe",NA,"Hannover 96","Germany","2 M€"
"30/12","Allemagne","Kevin Akpoguma","in","Hoffenheim",NA,"Hannover 96","Germany","Loan"
"31/12","Autriche","S.  Radlinger","in","Brann Bergen","Norway","Hannover 96","Germany","Return from loan"
"01/01","Danemark","Uffe Bech","in","Bröndby","Denmark","Hannover 96","Germany","Return from loan"
"01/01","Allemagne","Nicolai Müller","in","E Francfort",NA,"Hannover 96","Germany","Loan"
"18/01","Brésil","Jonathas","in","Corinthians","Brazil","Hannover 96","Germany","Return from loan"
"27/01","Allemagne","Thomas Doll","in",NA,NA,"Hannover 96","Germany","manager"
"15/06","Allemagne","Florian Hübner","out","Hannover 96","Germany","Union",NA,""
"29/06","Brésil","Jonathas","out","Hannover 96","Germany","Corinthians","Brazil","Loan"
